GWNO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,NOTES,FATALITIES
432,1MLI,49100,06/01/1997,1997,1,Riots/Protests,Protesters (Mali),,6,Police Forces of Mali (1992-2002),,1,16,Mali,Bamako,Bamako,Kalban-Coro,Bamako,12.65000,-8.00000,1,Reuters,"Students protested for an increase in grants for school. To control the protests, police fired teargas into the crowd.",0
432,2MLI,49101,28/02/1997,1997,1,Riots/Protests,Police Forces of Mali (1992-2002),,1,Rioters (Mali),,5,15,Mali,Bamako,Bamako,Kalban-Coro,Bamako,12.65000,-8.00000,1,Reuters,"Riots broke out at the Bamako inernational airport when returning expelled Malians from France attacked 40 police officers. Since 1995, France has been more strict towards illegal Malian immigrants.",0
432,3MLI,49103,16/04/1997,1997,1,Riots/Protests,Rioters (Mali),RFP: Rally of Patriotic Forces,5,Police Forces of Mali (1992-2002),,1,15,Mali,Bamako,Bamako,Kalban-Coro,Bamako,12.65000,-8.00000,1,Reuters,"Protesters demonstrated for new elections after a parliamentary poll and against the Malian governments decision to ban protests. However, protests broke out into riots when police responded to the crowds with teargas and rubber bullets. The riots were l",0
432,4MLI,49102,16/04/1997,1997,1,Riots/Protests,Protesters (Mali),,6,,,0,60,Mali,Bamako,Bamako,Kalban-Coro,Bamako,12.65000,-8.00000,1,Reuters,Protesters demonstrated for new elections after a parliamentary poll and against the Malian governments decision to ban protests.,0
432,5MLI,49104,21/04/1997,1997,1,Riots/Protests,Protesters (Mali),,6,,,0,60,Mali,Bamako,Bamako,Kalban-Coro,Bamako,12.65000,-8.00000,1,Reuters,Opposition parties staged a peaceful protest in Bamako. Protesters wanted the government to resign and for new parliamentary elections to be held.,0
432,6MLI,49106,06/05/1997,1997,1,Riots/Protests,Rioters (Mali),,5,Police Forces of Mali (1992-2002),,1,15,Mali,Bamako,Bamako,Kalban-Coro,Bamako,12.65000,-8.00000,1,Reuters,"Students rioted against the upcoming presidential elections by setting posters of Konare, the current President, on fire and burning tires in the street. Police responded with teargas. Konare is set to run for President on 11/05/1997.",0
432,7MLI,49105,06/05/1997,1997,1,Riots/Protests,Protesters (Mali),,6,,,0,60,Mali,Bamako,Bamako,Kalban-Coro,Bamako,12.65000,-8.00000,1,Reuters,Public sector workers in charge of electricity and water went on strike to protest the presidential elections set for 11/5/97.,0
432,8MLI,49107,08/05/1997,1997,1,Riots/Protests,Protesters (Mali),,6,,,0,60,Mali,Bamako,Bamako,Kalban-Coro,Bamako,12.65000,-8.00000,1,Reuters,Opposition parties held a protest to delay the presidential elections set for 11/5/97. A formal request to delay the elections were sent through the Malian court system but were rejected.,0
432,9MLI,49108,25/05/1997,1997,1,Violence against civilians,Civilians (Mali),,7,Unidentified Armed Group (Mali),,3,37,Mali,Kidal,Kidal,Kidal,Kidal,18.44000,1.41000,1,Reuters,A UNHCR employee was kidnapped by two unidentified men in Kidal.,0
432,10MLI,49109,08/06/1997,1997,1,Riots/Protests,Rioters (Mali),,5,,,0,50,Mali,Bamako,Bamako,Kalban-Coro,Bamako,12.65000,-8.00000,1,Reuters,Riots erupted as President Konare was sworn in for another term. Opposition protesters attacked public buildings and threw stones at traffic lights.,0
432,11MLI,49111,19/06/1997,1997,1,Riots/Protests,Protesters (Mali),,6,,,0,60,Mali,Bamako,Bamako,Kalban-Coro,Bamako,12.65000,-8.00000,1,Reuters,Opposition parties protested the rerun of parliamentary elections to be held on 20/6/97.,0
432,12MLI,49110,19/06/1997,1997,1,Riots/Protests,Rioters (Mali),,5,Police Forces of Mali (1992-2002),,1,15,Mali,Bamako,Bamako,Kalban-Coro,Bamako,12.65000,-8.00000,1,Reuters,"After a protest by opposition parties, riots broke out where the townhall was ransacked and the national headquarters of ADEMA was set on fire. ADEMA is the party of President Konare. Police dispersed the rioters. Two of the rioters died.",2
432,13MLI,49112,09/08/1997,1997,1,Riots/Protests,Rioters (Mali),,5,Police Forces of Mali (1992-2002),,1,15,Mali,Bamako,Bamako,Kalban-Coro,Bamako,12.65000,-8.00000,1,Reuters,"Opposition parties were rioting over presidential elections that occured in May. During the riots, one policeman was lynched. Two days later, journalists and opposition members were arrested in relation to officer death. Among those arrested was Almamy S",1
432,14MLI,49113,20/09/1997,1997,1,Riots/Protests,Protesters (Mali),,6,,,0,60,Mali,Bamako,Bamako,Kalban-Coro,Bamako,12.65000,-8.00000,1,Reuters,Protesters demanded the release of 10 opposition members who were being held in detention for inciting riots that led to the death of one policeman in August.,0
432,15MLI,49114,29/11/1997,1997,1,Violence against civilians,Civilians (Mali),,7,Unidentified Armed Group (Mali),,3,37,Mali,Bamako,Bamako,Kalban-Coro,Bamako,12.65000,-8.00000,1,BBC,A hand grenade was thrown at the Labour Exchange building in Bamako by an unidentified group. The explosion caused material damange to the building. No one died in the explosion.,0
432,16MLI,49115,17/03/1998,1998,1,Battle-No change of territory,Militia (Students),,3,Military Forces of Mali (1992-2002),,1,13,Mali,Koulikoro,Dioila,Dioila,Dioila,12.48000,-6.80000,1,Reuters,"Students went to a jail and killed two men being held who were accused of a ritual killing of one of the students friends. Gendarmes responded responded by firing bullets, which resulted in the death of one of the students.",1
432,17MLI,49116,17/03/1998,1998,1,Violence against civilians,Militia (Students),,3,Civilians (Mali),,7,37,Mali,Koulikoro,Dioila,Dioila,Dioila,12.48000,-6.80000,1,Reuters,"Students went to a jail and killed two men being held who were accused of a ritual killing of one of the students friends. Gendarmes responded responded by firing bullets, which resulted in the death of one of the students.",2
432,18MLI,49117,05/05/1998,1998,1,Violence against civilians,Civilians (Mali),,7,Adema Liberation Army,,3,37,Mali,Bamako,Bamako,Kalban-Coro,Bamako,12.65000,-8.00000,1,International Freedom of Expression Exchange,"Journalist, Cheik Omar Konare, was attacked by a group who called themselves ""Adema Liberation Army"" who kidnapped, gassed, and bound Konare. During the kidnapping, Konare was asked why he opposed the current regime. He survived the attack. Earlier in t",0
432,19MLI,49118,01/11/1998,1998,1,Battle-No change of territory,Kayobogo Ethnic Militia (Mali),,4,Sirranikoro Ethnic Militia (Mali),,4,44,Mali,Segou,Niono,Niono,Siranikoro,14.28000,-6.22000,1,Reuters,Residents of Kayobogo and Sirranikoro clashed over fishing rights in a tributary of the Niger Delta. Eight people were killed and 28 injured. It is unknown which side the eight killed belonged to.,8
432,20MLI,49119,22/04/1999,1999,1,Battle-No change of territory,Kirane Communal Militia (Mali),,4,Guavinane Communal Militia (Mali),,4,44,Mali,Kayes,Yelimane,Yelimane-Central,Kirane,15.33000,-10.55000,1,Reuters,People in the villages of Kirane an Guavinane fought over firewood. Firewood is becoming a scarce resource in the region of Kayes. Eleven people died during the clash. It was not noted which village those who died belonged to.,11
432,21MLI,49120,20/06/1999,1999,1,Battle-No change of territory,Missira Samoura Ethnic Militia (Mali),,4,Djigueni Ethnic Militia (Mauritania),,4,44,Mali,Koulikoro,Koulikoro,Koulakoulikoro,Koulikoro,12.87000,-7.56000,1,IRIN Africa,Malian herdsmen in Missira-Samoura refused to allow a horseman from Mauritania use a watering hole. The Mauritanian horseman rode off and returned to the village with other men. Fighting broke out and resulted in two people being killed. Groups on the bo,2
432,22MLI,49122,14/07/1999,1999,1,Battle-No change of territory,Kounta Ethnic Militia (Mali),,4,Arab Ethnic Militia (Mali),,4,44,Mali,Gao,Bourem,Almoustarat,Almoustarast,17.37000,0.09000,1,Reuters,Fighting broke out between the pro-government Kounta ethnic group and pro-opposition Arab men. The clashes erupted after local elections announced that a pro-government member would take the municipal position. Reuters puts the death toll at about 12 whi,12
432,23MLI,49121,14/07/1999,1999,1,Battle-No change of territory,Fulani Ethnic Militia (Mali),,4,Soninke Ethnic Militia (Mali),,4,44,Mali,Kayes,Nioro,Gavinane,Fasseguerla,15.30000,-9.95000,1,All Africa,"Clashes erupted between Fulani cattle breeders and Soninke farmers. The fighting resulted in 3 Fulani being killed, 5 Soninke being killed, 34 huts burned down and 1 grain silo burned down.",8
432,24MLI,49124,16/07/1999,1999,1,Battle-No change of territory,Kounta Ethnic Militia (Mali),,4,Arab Ethnic Militia (Mali),,4,44,Mali,Gao,Bourem,Bourem,Bourem,16.96000,-0.35000,1,All Africa,Fighting broke out between the pro-government Kounta ethnic group and pro-opposition Arab men. The clashes erupted after local elections announced that a pro-government member would take the municipal position. At least 38 people were killed and 13 wound,38
432,25MLI,49123,16/07/1999,1999,1,Battle-No change of territory,Ifogha Ethnic Militia (Mali),,4,Idnan Ethnic Militia (Mali),,4,44,Mali,Kidal,Kidal,Kidal,Kidal,18.44000,1.41000,1,Reuters,Fighting broke out between the pro-government Idnan ethnic group and pro-opposition Ifogha. The clashes erupted after local elections announced that a pro-government member would take the municipal position.,0
432,26MLI,49125,15/08/1999,1999,1,Violence against civilians,Arab Ethnic Militia (Mali),,4,Civilians (Mali),,7,47,Mali,Gao,Gao,Gao-Central,Gao,16.27167,-0.04472,1,BBC Monitoring,"During a wedding ceremony held by the Kounta ethnic group, two Arab youths attacked and killed two people attending the wedding.",2
